ref_organ,ref_organ_part,parent,child,parent_label,child_label
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_internal_iliac_vein_L,UBERON:0001317,FMA:18895,internal iliac vein,Left middle rectal vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_middle_rectal_vein_L,FMA:18895,UBERON:0001317,Left middle rectal vein,internal iliac vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_coronary_sinus,UBERON:0005438,FMA:4712,coronary sinus,Posterior vein of left ventricle
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_posterior_vein_of_left_ventricle,FMA:4712,UBERON:0005438,Posterior vein of left ventricle,coronary sinus
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_coronary_sinus,UBERON:0005438,UBERON:0006958,coronary sinus,great vein of heart
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_great_cardiac_vein,UBERON:0006958,UBERON:0005438,great vein of heart,coronary sinus
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_internal_iliac_vein_R,UBERON:0001317,FMA:21387,internal iliac vein,Right common iliac vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_right_common_iliac_vein,FMA:21387,UBERON:0001317,Right common iliac vein,internal iliac vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_central_retinal_vein_L,FMA:51885,FMA:51249,Left central retinal vein,Left superior ophthalmic vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_superior_ophthalmic_vein_L,FMA:51249,FMA:51885,Left superior ophthalmic vein,Left central retinal vein
